meat_type,date,price
"Mutton, kg",2021-03-03,10229.0
"Beef, kg",2021-03-03,12416.0
"Horse meat, kg",2021-03-03,9643.0
"Goat meat, kg",2021-03-03,8746.0
"Mutton, kg",2021-03-10,10279.0
"Beef, kg",2021-03-10,12423.0
"Horse meat, kg",2021-03-10,9747.0
"Goat meat, kg",2021-03-10,8746.0
"Mutton, kg",2021-03-17,10400.0
"Beef, kg",2021-03-17,12325.0
"Horse meat, kg",2021-03-17,9984.0
"Goat meat, kg",2021-03-17,8746.0
"Mutton, kg",2021-03-24,11197.0
"Beef, kg",2021-03-24,12983.0
"Horse meat, kg",2021-03-24,11100.0
"Goat meat, kg",2021-03-24,9143.0
"Mutton, kg",2021-03-31,11414.0
"Beef, kg",2021-03-31,13208.0
"Horse meat, kg",2021-03-31,11929.0
"Goat meat, kg",2021-03-31,9143.0
"Mutton, kg",2021-04-07,11941.0
"Beef, kg",2021-04-07,13636.0
"Horse meat, kg",2021-04-07,12353.0
"Goat meat, kg",2021-04-07,9143.0
"Mutton, kg",2021-04-14,12468.0
"Beef, kg",2021-04-14,13862.0
"Horse meat, kg",2021-04-14,12708.0
"Goat meat, kg",2021-04-14,9987.0
"Mutton, kg",2021-04-21,12410.0
"Beef, kg",2021-04-21,13910.0
"Horse meat, kg",2021-04-21,12844.0
"Goat meat, kg",2021-04-21,9987.0
"Mutton, kg",2021-04-28,12460.0
"Beef, kg",2021-04-28,14005.0
"Horse meat, kg",2021-04-28,12976.0
"Goat meat, kg",2021-04-28,9987.0
"Mutton, kg",2021-05-05,12460.0
"Beef, kg",2021-05-05,13957.0
"Horse meat, kg",2021-05-05,13104.0
"Goat meat, kg",2021-05-05,9987.0
"Mutton, kg",2021-05-12,12434.0
"Beef, kg",2021-05-12,13931.0
"Horse meat, kg",2021-05-12,12935.0
"Goat meat, kg",2021-05-12,9987.0
"Mutton, kg",2021-05-19,12435.0
"Beef, kg",2021-05-19,13944.0
"Horse meat, kg",2021-05-19,13694.0
"Goat meat, kg",2021-05-19,10144.0
"Mutton, kg",2021-05-25,12231.0
"Beef, kg",2021-05-25,13990.0
"Horse meat, kg",2021-05-25,13560.0
"Goat meat, kg",2021-05-25,10144.0
"Mutton, kg",2021-06-02,12630.0
"Beef, kg",2021-06-02,14563.0
"Horse meat, kg",2021-06-02,13694.0
"Goat meat, kg",2021-06-02,10144.0
"Mutton, kg",2021-06-08,12664.0
"Beef, kg",2021-06-08,14603.0
"Horse meat, kg",2021-06-08,13349.0
"Goat meat, kg",2021-06-08,10383.0
"Mutton, kg",2021-06-16,12611.0
"Beef, kg",2021-06-16,14576.0
"Horse meat, kg",2021-06-16,13349.0
"Goat meat, kg",2021-06-16,10383.0
"Mutton, kg",2021-06-23,12907.0
"Beef, kg",2021-06-23,15141.0
"Horse meat, kg",2021-06-23,12844.0
"Goat meat, kg",2021-06-23,10488.0
"Mutton, kg",2021-06-30,12669.0
"Beef, kg",2021-06-30,14967.0
"Horse meat, kg",2021-06-30,13208.0
"Goat meat, kg",2021-06-30,10488.0
"Mutton, kg",2021-07-07,12620.0
"Beef, kg",2021-07-07,15129.0
"Horse meat, kg",2021-07-07,12981.0
"Goat meat, kg",2021-07-07,10488.0
"Mutton, kg",2021-07-14,12620.0
"Beef, kg",2021-07-14,15129.0
"Horse meat, kg",2021-07-14,12981.0
"Goat meat, kg",2021-07-14,10488.0
"Mutton, kg",2021-07-21,12303.0
"Beef, kg",2021-07-21,14660.0
"Horse meat, kg",2021-07-21,11344.0
"Goat meat, kg",2021-07-21,10488.0
"Mutton, kg",2021-07-28,12222.0
"Beef, kg",2021-07-28,14272.0
"Horse meat, kg",2021-07-28,10692.0
"Goat meat, kg",2021-07-28,10488.0
"Mutton, kg",2021-08-04,11615.0
"Beef, kg",2021-08-04,13900.0
"Horse meat, kg",2021-08-04,10741.0
"Goat meat, kg",2021-08-04,10488.0
"Mutton, kg",2021-08-11,11598.0
"Beef, kg",2021-08-11,13855.0
"Horse meat, kg",2021-08-11,10741.0
"Goat meat, kg",2021-08-11,10488.0
"Mutton, kg",2021-08-18,11162.0
"Beef, kg",2021-08-18,13537.0
"Horse meat, kg",2021-08-18,9833.0
"Goat meat, kg",2021-08-18,9000.0
"Mutton, kg",2021-08-25,11152.0
"Beef, kg",2021-08-25,13514.0
"Horse meat, kg",2021-08-25,10241.0
"Goat meat, kg",2021-08-25,9000.0
"Mutton, kg",2021-09-01,11145.0
"Beef, kg",2021-09-01,13575.0
"Horse meat, kg",2021-09-01,9975.0
"Goat meat, kg",2021-09-01,8643.0
"Mutton, kg",2021-09-08,11090.0
"Beef, kg",2021-09-08,13516.0
"Horse meat, kg",2021-09-08,10111.0
"Goat meat, kg",2021-09-08,8643.0
"Mutton, kg",2021-09-15,10906.0
"Beef, kg",2021-09-15,13216.0
"Horse meat, kg",2021-09-15,10111.0
"Goat meat, kg",2021-09-15,8643.0
"Mutton, kg",2021-09-22,10865.0
"Beef, kg",2021-09-22,13429.0
"Horse meat, kg",2021-09-22,9833.0
"Goat meat, kg",2021-09-22,8643.0
"Mutton, kg",2021-09-29,10865.0
"Beef, kg",2021-09-29,13367.0
"Horse meat, kg",2021-09-29,9975.0
"Goat meat, kg",2021-09-29,8643.0
"Mutton, kg",2021-10-06,10834.0
"Beef, kg",2021-10-06,13304.0
"Horse meat, kg",2021-10-06,10224.0
"Goat meat, kg",2021-10-06,9000.0
"Mutton, kg",2021-10-13,11226.0
"Beef, kg",2021-10-13,13405.0
"Horse meat, kg",2021-10-13,10224.0
"Goat meat, kg",2021-10-13,9000.0
"Mutton, kg",2021-10-20,10996.0
"Beef, kg",2021-10-20,13081.0
"Horse meat, kg",2021-10-20,10224.0
"Goat meat, kg",2021-10-20,9000.0
"Mutton, kg",2021-10-27,10974.0
"Beef, kg",2021-10-27,13322.0
"Horse meat, kg",2021-10-27,9937.0
"Goat meat, kg",2021-10-27,8986.0
