meat_type,date,price
"Goat meat, kg",2018-08-15,5350.0
"Mutton, kg",2018-08-22,6800.0
"Beef, kg",2018-08-22,7910.0
"Horse meat, kg",2018-08-22,6250.0
"Goat meat, kg",2018-08-22,5000.0
"Mutton, kg",2018-08-29,6710.0
"Beef, kg",2018-08-29,7880.0
"Horse meat, kg",2018-08-29,6125.0
"Goat meat, kg",2018-08-29,4900.0
"Mutton, kg",2018-09-05,6580.0
"Beef, kg",2018-09-05,7835.0
"Horse meat, kg",2018-09-05,6125.0
"Goat meat, kg",2018-09-05,4700.0
"Mutton, kg",2018-09-12,6420.0
"Beef, kg",2018-09-12,7810.0
"Horse meat, kg",2018-09-12,6125.0
"Goat meat, kg",2018-09-12,4700.0
"Mutton, kg",2018-09-19,6360.0
"Beef, kg",2018-09-19,7780.0
"Horse meat, kg",2018-09-19,6125.0
"Goat meat, kg",2018-09-19,4700.0
"Mutton, kg",2018-09-26,6290.0
"Beef, kg",2018-09-26,7700.0
"Horse meat, kg",2018-09-26,5950.0
"Goat meat, kg",2018-09-26,4700.0
"Mutton, kg",2018-10-03,6260.0
"Beef, kg",2018-10-03,7710.0
"Horse meat, kg",2018-10-03,5900.0
"Goat meat, kg",2018-10-03,4550.0
"Mutton, kg",2018-10-10,6210.0
"Beef, kg",2018-10-10,7690.0
"Horse meat, kg",2018-10-10,5775.0
"Goat meat, kg",2018-10-10,4550.0
"Mutton, kg",2018-10-17,6370.0
"Beef, kg",2018-10-17,7810.0
"Horse meat, kg",2018-10-17,5850.0
"Goat meat, kg",2018-10-17,4900.0
"Mutton, kg",2018-10-24,6580.0
"Beef, kg",2018-10-24,7980.0
"Horse meat, kg",2018-10-24,5850.0
"Goat meat, kg",2018-10-24,5000.0
"Mutton, kg",2018-10-31,6780.0
"Beef, kg",2018-10-31,8035.0
"Horse meat, kg",2018-10-31,5850.0
"Goat meat, kg",2018-10-31,5100.0
"Mutton, kg",2018-11-07,6855.0
"Beef, kg",2018-11-07,8080.0
"Horse meat, kg",2018-11-07,5850.0
"Goat meat, kg",2018-11-07,5200.0
"Mutton, kg",2018-11-14,6765.0
"Beef, kg",2018-11-14,8020.0
"Horse meat, kg",2018-11-14,5800.0
"Goat meat, kg",2018-11-14,4900.0
"Mutton, kg",2018-11-21,6600.0
"Beef, kg",2018-11-21,7965.0
"Horse meat, kg",2018-11-21,5800.0
"Goat meat, kg",2018-11-21,4900.0
"Mutton, kg",2018-11-28,6540.0
"Beef, kg",2018-11-28,7945.0
"Horse meat, kg",2018-11-28,6025.0
"Goat meat, kg",2018-11-28,4900.0
"Mutton, kg",2018-12-05,6460.0
"Beef, kg",2018-12-05,7835.0
"Horse meat, kg",2018-12-05,6025.0
"Goat meat, kg",2018-12-05,4900.0
"Mutton, kg",2018-12-12,6680.0
"Beef, kg",2018-12-12,8420.0
"Horse meat, kg",2018-12-12,6450.0
"Goat meat, kg",2018-12-12,5400.0
"Mutton, kg",2018-12-19,6750.0
"Beef, kg",2018-12-19,8445.0
"Horse meat, kg",2018-12-19,6525.0
"Goat meat, kg",2018-12-19,5500.0
"Mutton, kg",2018-12-26,6885.0
"Beef, kg",2018-12-26,8520.0
"Horse meat, kg",2018-12-26,6525.0
"Goat meat, kg",2018-12-26,5500.0
"Mutton, kg",2019-01-02,6955.0
"Beef, kg",2019-01-02,8580.0
"Horse meat, kg",2019-01-02,6525.0
"Goat meat, kg",2019-01-02,5650.0
"Mutton, kg",2019-01-09,6980.0
"Beef, kg",2019-01-09,8745.0
"Horse meat, kg",2019-01-09,6750.0
"Goat meat, kg",2019-01-09,5800.0
"Mutton, kg",2019-01-16,7219.0
"Beef, kg",2019-01-16,8982.0
"Horse meat, kg",2019-01-16,6745.0
"Goat meat, kg",2019-01-16,5800.0
"Mutton, kg",2019-01-23,7273.0
"Beef, kg",2019-01-23,8982.0
"Horse meat, kg",2019-01-23,6745.0
"Goat meat, kg",2019-01-23,5800.0
"Mutton, kg",2019-01-30,7364.0
"Beef, kg",2019-01-30,8994.0
"Horse meat, kg",2019-01-30,6745.0
"Goat meat, kg",2019-01-30,6000.0
"Mutton, kg",2019-02-13,7320.0
"Beef, kg",2019-02-13,8965.0
"Horse meat, kg",2019-02-13,6750.0
"Goat meat, kg",2019-02-13,6000.0
"Mutton, kg",2019-02-20,7368.0
"Beef, kg",2019-02-20,8911.0
"Horse meat, kg",2019-02-20,6745.0
"Goat meat, kg",2019-02-20,6000.0
"Mutton, kg",2019-02-27,7283.0
"Beef, kg",2019-02-27,8826.0
"Horse meat, kg",2019-02-27,6745.0
"Goat meat, kg",2019-02-27,5899.0
"Mutton, kg",2019-03-06,7688.0
"Beef, kg",2019-03-06,9279.0
"Horse meat, kg",2019-03-06,6745.0
"Goat meat, kg",2019-03-06,5899.0
"Mutton, kg",2019-03-13,7762.0
"Beef, kg",2019-03-13,9300.0
"Horse meat, kg",2019-03-13,6745.0
"Goat meat, kg",2019-03-13,5899.0
"Mutton, kg",2019-03-20,7949.0
"Beef, kg",2019-03-20,9393.0
"Horse meat, kg",2019-03-20,6745.0
"Goat meat, kg",2019-03-20,5899.0
"Mutton, kg",2019-03-27,8368.0
"Beef, kg",2019-03-27,9534.0
"Horse meat, kg",2019-03-27,6745.0
"Goat meat, kg",2019-03-27,6399.0
"Mutton, kg",2019-04-03,8588.0
"Beef, kg",2019-04-03,9642.0
"Horse meat, kg",2019-04-03,6745.0
"Goat meat, kg",2019-04-03,6399.0
"Mutton, kg",2019-04-10,8734.0
"Beef, kg",2019-04-10,9642.0
"Horse meat, kg",2019-04-10,6745.0
"Goat meat, kg",2019-04-10,6399.0
"Mutton, kg",2019-04-17,8744.0
"Beef, kg",2019-04-17,9642.0
"Horse meat, kg",2019-04-17,6697.0
"Goat meat, kg",2019-04-17,6399.0
"Mutton, kg",2019-04-24,8775.0
"Beef, kg",2019-04-24,9621.0
"Horse meat, kg",2019-04-24,6697.0
"Goat meat, kg",2019-04-24,6399.0
"Mutton, kg",2019-05-01,8734.0
"Beef, kg",2019-05-01,9599.0
"Horse meat, kg",2019-05-01,6697.0
"Goat meat, kg",2019-05-01,6399.0
"Mutton, kg",2019-05-08,8753.0
"Beef, kg",2019-05-08,9599.0
"Horse meat, kg",2019-05-08,6745.0
"Goat meat, kg",2019-05-08,6399.0
"Mutton, kg",2019-05-15,10658.0
"Beef, kg",2019-05-15,11912.0
"Horse meat, kg",2019-05-15,9188.0
"Goat meat, kg",2019-05-15,8800.0
"Mutton, kg",2019-05-22,10522.0
"Beef, kg",2019-05-22,11850.0
"Horse meat, kg",2019-05-22,9188.0
"Goat meat, kg",2019-05-22,8800.0
"Mutton, kg",2019-05-29,10422.0
"Beef, kg",2019-05-29,11850.0
"Horse meat, kg",2019-05-29,9188.0
"Goat meat, kg",2019-05-29,8800.0
"Mutton, kg",2019-06-05,10345.0
"Beef, kg",2019-06-05,11741.0
"Horse meat, kg",2019-06-05,9071.0
"Goat meat, kg",2019-06-05,8800.0
"Mutton, kg",2019-06-12,10458.0
"Beef, kg",2019-06-12,11727.0
"Horse meat, kg",2019-06-12,9071.0
"Goat meat, kg",2019-06-12,8800.0
"Mutton, kg",2019-06-19,10484.0
"Beef, kg",2019-06-19,11727.0
"Horse meat, kg",2019-06-19,9071.0
"Goat meat, kg",2019-06-19,8800.0
"Mutton, kg",2019-06-26,10440.0
"Beef, kg",2019-06-26,11614.0
"Horse meat, kg",2019-06-26,9071.0
"Goat meat, kg",2019-06-26,8500.0
"Mutton, kg",2019-07-03,10132.0
"Beef, kg",2019-07-03,12304.0
"Horse meat, kg",2019-07-03,9058.0
"Goat meat, kg",2019-07-03,8399.0
"Mutton, kg",2019-07-10,10076.0
"Beef, kg",2019-07-10,12457.0
"Horse meat, kg",2019-07-10,9496.0
"Goat meat, kg",2019-07-10,8546.0
"Mutton, kg",2019-07-17,10110.0
"Beef, kg",2019-07-17,12500.0
"Horse meat, kg",2019-07-17,9414.0
"Goat meat, kg",2019-07-17,8546.0
"Mutton, kg",2019-07-24,10110.0
"Beef, kg",2019-07-24,12205.0
"Horse meat, kg",2019-07-24,9414.0
"Goat meat, kg",2019-07-24,8546.0
"Mutton, kg",2019-07-31,9785.0
"Beef, kg",2019-07-31,11940.0
"Horse meat, kg",2019-07-31,9090.0
"Goat meat, kg",2019-07-31,8399.0
"Mutton, kg",2019-08-07,9735.0
"Beef, kg",2019-08-07,11825.0
"Horse meat, kg",2019-08-07,9169.0
"Goat meat, kg",2019-08-07,8399.0
"Mutton, kg",2019-08-14,9668.0
"Beef, kg",2019-08-14,11660.0
"Horse meat, kg",2019-08-14,8823.0
"Goat meat, kg",2019-08-14,8399.0
"Mutton, kg",2019-08-21,9667.8
"Beef, kg",2019-08-21,11364.1
"Horse meat, kg",2019-08-21,8822.6
"Goat meat, kg",2019-08-21,8399.4
"Mutton, kg",2019-08-28,9735.5
"Beef, kg",2019-08-28,11308.1
"Horse meat, kg",2019-08-28,8822.6
"Goat meat, kg",2019-08-28,8399.4
"Mutton, kg",2019-09-04,9695.0
"Beef, kg",2019-09-04,11391.4
"Horse meat, kg",2019-09-04,8822.6
"Goat meat, kg",2019-09-04,8399.4
"Mutton, kg",2019-09-11,9655.5
"Beef, kg",2019-09-11,11374.5
"Horse meat, kg",2019-09-11,8822.6
"Goat meat, kg",2019-09-11,8399.4
"Mutton, kg",2019-09-18,9618.5
"Beef, kg",2019-09-18,11374.5
"Horse meat, kg",2019-09-18,8822.6
"Goat meat, kg",2019-09-18,8399.4
"Mutton, kg",2019-09-25,9596.2
"Beef, kg",2019-09-25,11353.3
"Horse meat, kg",2019-09-25,8571.2
"Goat meat, kg",2019-09-25,8399.4
"Mutton, kg",2019-10-02,9549.5
"Beef, kg",2019-10-02,11252.5
"Horse meat, kg",2019-10-02,8571.2
"Goat meat, kg",2019-10-02,8399.4
"Mutton, kg",2019-10-09,9289.5
"Beef, kg",2019-10-09,11188.5
"Horse meat, kg",2019-10-09,8571.2
"Goat meat, kg",2019-10-09,8399.4
"Mutton, kg",2019-10-16,9210.3
"Beef, kg",2019-10-16,11136.8
